price,brand,title,category
1.2,Amita,Motion  330ml,Αναψυκτικά - Χυμοί
2.5,Amita,Motion  1lt,Αναψυκτικά - Χυμοί
2.4,Amita,Πορτοκάλι Μήλο Βερύκκοκο  1lt,Αναψυκτικά - Χυμοί
1,Amita,Πορτοκάλι Μήλο Βερύκκοκο  250ml,Αναψυκτικά - Χυμοί
1.2,Amita,Μήλο Πορτοκάλι Καρότο  330ml,Αναψυκτικά - Χυμοί
1.2,Amita,Νέκταρ  330ml,Αναψυκτικά - Χυμοί
2.4,Amita,Νέκταρ  1lt,Αναψυκτικά - Χυμοί
2.4,Amita,Λεμόνι  1lt,Αναψυκτικά - Χυμοί
1,Amita,Βύσσινο  250ml,Αναψυκτικά - Χυμοί
2.4,Amita,Βύσσινο  1lt,Αναψυκτικά - Χυμοί
2.4,Αmita,Πορτοκάλι  1lt,Αναψυκτικά - Χυμοί
2.4,Amita,Ροδάκινο  1lt,Αναψυκτικά - Χυμοί
1,Amita,Ροδάκινο Νέκταρ  250ml,Αναψυκτικά - Χυμοί
1.6,Nescafe,Black Ice  250ml,Αναψυκτικά - Χυμοί
0.9,Coca Cola,Κουτάκι  330ml,Αναψυκτικά - Χυμοί
2,Coca Cola,"Μπουκάλι  1,5lt",Αναψυκτικά - Χυμοί
1.2,Coca Cola,Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
2,Coca Cola,"Light Μπουκάλι  1,5lt",Αναψυκτικά - Χυμοί
1.2,Coca Cola,Light Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
0.9,Coca Cola,Light Κουτάκι  330ml,Αναψυκτικά - Χυμοί
2,Coca Cola,"Zero Μπουκάλι  1,5lt",Αναψυκτικά - Χυμοί
1.2,Coca Cola,Zero Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
0.9,Coca Cola,Zero Κουτάκι  330ml,Αναψυκτικά - Χυμοί
0.9,Fanta,Λεμόνι Κουτάκι  330ml,Αναψυκτικά - Χυμοί
1.2,Fanta,Λεμόνι Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
2,Fanta,"Λεμόνι Μπουκάλι  1,5lt",Αναψυκτικά - Χυμοί
0.9,Fanta,Μπλέ Κουτάκι  330ml,Αναψυκτικά - Χυμοί
1.2,Fanta,Μπλέ Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
0.9,Fanta,Πορτοκάλι Κουτάκι  330ml,Αναψυκτικά - Χυμοί
1.2,Fanta,Πορτοκάλι Μπουκάλι  500ml,Αναψυκτικά - Χυμοί
2,Fanta,"Πορτοκάλι Μπουκάλι  1,5lt",Αναψυκτικά - Χυμοί
2,Frulite,On The Go Ροδάκινο-Πορτοκάλι Pet  500ml,Αναψυκτικά - Χυμοί
2,Frulite,On The Go Πορτοκάλι-Βερύκκοκο Pet  500ml,Αναψυκτικά - Χυμοί
,,,Αναψυκτικά - Χυμοί
2.4,Frulite,Ανανάς Καρύδα  1lt,Αναψυκτικά - Χυμοί
1.2,Frulite,Ανανάς Καρύδα  330ml,Αναψυκτικά - Χυμοί
